Vg	Ve	g	PEV	resid	pred	GBLUP_EBVAcc
15.786477	53.118097	-2.137135	6.510049	1.246054	31.627219	0.7666
15.786477	53.118097	-3.01115	6.464303	0.272814	30.753204	0.7685
15.786477	53.118097	2.070902	6.586915	6.933926	35.835256	0.7634
15.786477	53.118097	-1.248371	6.62343	1.974548	32.515983	0.7619
15.786477	53.118097	2.212118	6.785866	0.425529	35.976472	0.7551
15.786477	53.118097	-5.568658	10.012573	8.812703	28.195696	0.6048
15.786477	53.118097	-1.887164	7.071489	8.823512	31.87719	0.743
15.786477	53.118097	-3.613515	7.499593	2.79605	30.15084	0.7245
15.786477	53.118097	1.363784	7.014704	3.302494	35.128138	0.7454
15.786477	53.118097	-2.401822	8.176245	4.47527	31.362532	0.6943
15.786477	53.118097	-1.520242	7.106542	-9.046541	32.244112	0.7415
15.786477	53.118097	-2.920281	7.408811	-6.077363	30.844074	0.7285
15.786477	53.118097	-1.916309	7.571859	-16.971412	31.848045	0.7214
15.786477	53.118097	-4.25887	6.951415	-1.967379	29.505484	0.7481
15.786477	53.118097	-0.779617	7.134989	1.429703	32.984738	0.7403
15.786477	53.118097	0.003287	7.223844	0.615853	33.767641	0.7365
15.786477	53.118097	-2.623741	7.558835	-1.514719	31.140613	0.7219
15.786477	53.118097	-1.56788	7.076172	-6.4098	32.196474	0.7428
15.786477	53.118097	-2.807893	6.2535	4.88288	30.956461	0.7771
15.786477	53.118097	0.052895	7.085046	9.222428	33.817249	0.7424
15.786477	53.118097	-2.227013	7.535175	8.61751	31.537341	0.723
15.786477	53.118097	-0.025176	7.377029	1.075004	33.739178	0.7299
15.786477	53.118097	-0.222302	7.294103	7.134624	33.542052	0.7335
15.786477	53.118097	-1.431975	6.929055	0.05957	32.332379	0.7491
15.786477	53.118097	-8.049957	9.151783	-1.824734	25.714397	0.6483
15.786477	53.118097	-1.096377	7.374278	1.52629	32.667977	0.73
15.786477	53.118097	-2.501405	7.151788	6.16556	31.262949	0.7396
15.786477	53.118097	-7.620715	9.778182	5.160343	26.143639	0.6169
15.786477	53.118097	-4.483636	7.465893	4.327611	29.280718	0.726
15.786477	53.118097	1.019666	7.128545	7.231434	34.78402	0.7406
15.786477	53.118097	-0.702951	7.123712	12.224602	33.061403	0.7408
15.786477	53.118097	0.531222	7.264294	-0.290721	34.295576	0.7347
15.786477	53.118097	-0.715396	7.638488	4.034272	33.048958	0.7184
15.786477	53.118097	-0.541612	7.168199	-9.90624	33.222742	0.7389
15.786477	53.118097	0.712721	7.095153	5.641447	34.477075	0.742
15.786477	53.118097	0.523805	6.948738	-19.92567	34.288159	0.7482
15.786477	53.118097	-2.116281	7.291648	-6.557304	31.648073	0.7336
15.786477	53.118097	-2.996779	7.28194	-7.914158	30.767575	0.734
15.786477	53.118097	0.362386	6.97008	-11.097977	34.12674	0.7473
15.786477	53.118097	-4.071318	7.453978	3.671266	29.693037	0.7265
15.786477	53.118097	-0.069619	7.194964	-2.765532	33.694735	0.7377
15.786477	53.118097	-0.770157	7.597653	-7.360513	32.994197	0.7202
15.786477	53.118097	-1.764753	7.25126	-5.656512	31.999601	0.7353
15.786477	53.118097	1.433151	6.007471	6.216494	35.197505	0.7871
15.786477	53.118097	3.290896	6.880329	-5.554032	37.05525	0.7511
15.786477	53.118097	-0.590739	7.601578	-6.565686	33.173615	0.7201
15.786477	53.118097	-1.422184	9.3503	-2.687184	32.34217	0.6385
15.786477	53.118097	-6.111847	7.288322	6.900801	27.652507	0.7337
15.786477	53.118097	-1.111078	7.305234	-0.838714	32.653276	0.733
15.786477	53.118097	-1.355272	7.227238	3.108567	32.409082	0.7363
15.786477	53.118097	-4.215044	7.537027	-12.150918	29.54931	0.7229
15.786477	53.118097	-3.93717	7.375641	2.725656	29.827184	0.7299
15.786477	53.118097	-2.168609	7.437841	0.043302	31.595745	0.7272
