Vg	Ve	g	PEV	resid	pred	BLUP_EBVAcc
12.334348	55.548879	-0.38223	7.141563	-8.104089	33.39214	0.6488
12.334348	55.548879	2.00902	7.001086	0.224714	35.783389	0.6576
12.334348	55.548879	3.186341	7.10186	7.342969	36.960711	0.6513
12.334348	55.548879	-1.404978	7.194916	-15.443704	32.369392	0.6455
12.334348	55.548879	0.172869	7.169817	11.484979	33.947239	0.6471
12.334348	55.548879	-2.08092	7.153314	-14.017215	31.69345	0.6481
12.334348	55.548879	2.868801	7.062484	1.885414	36.643171	0.6538
12.334348	55.548879	-0.16849	7.068507	7.784357	33.605879	0.6534
12.334348	55.548879	1.44755	7.186926	3.567224	35.22192	0.646
12.334348	55.548879	2.777015	7.061894	3.817275	36.551385	0.6538
12.334348	55.548879	0.355002	7.272606	8.690267	34.129372	0.6406
12.334348	55.548879	0.957379	7.034882	2.507079	34.731748	0.6555
12.334348	55.548879	-0.923867	7.144325	7.866037	32.850502	0.6487
12.334348	55.548879	0.368577	7.10106	6.331763	34.142947	0.6514
12.334348	55.548879	-1.985001	7.067665	4.500868	31.789369	0.6534
12.334348	55.548879	0.041312	7.120281	8.098519	33.815682	0.6502
12.334348	55.548879	-0.544043	7.168702	5.027611	33.230326	0.6471
12.334348	55.548879	-0.800745	7.153144	-8.145471	32.973625	0.6481
12.334348	55.548879	-1.693747	7.14394	11.244251	32.080623	0.6487
12.334348	55.548879	-0.521026	7.168753	5.234936	33.253344	0.6471
12.334348	55.548879	1.194929	7.035552	4.746859	34.969299	0.6554
12.334348	55.548879	-0.425848	7.636685	-2.217317	33.348522	0.6171
12.334348	55.548879	-3.940498	7.143902	-8.992657	29.833872	0.6487
12.334348	55.548879	-0.3193	7.122283	4.850415	33.455069	0.6501
12.334348	55.548879	3.038269	7.003302	5.999758	36.812638	0.6574
12.334348	55.548879	2.846037	7.001657	7.763883	36.620407	0.6575
12.334348	55.548879	2.228004	7.10964	1.357368	36.002374	0.6508
12.334348	55.548879	1.617244	7.016209	5.815827	35.391614	0.6566
12.334348	55.548879	0.235213	7.228716	-11.552307	34.009583	0.6434
12.334348	55.548879	3.482698	7.072287	10.351617	37.257068	0.6532
12.334348	55.548879	-4.185102	7.128295	-11.535041	29.589268	0.6497
12.334348	55.548879	1.527423	7.22984	-0.320043	35.301793	0.6433
12.334348	55.548879	-2.912238	7.143516	0.269073	30.862132	0.6487
12.334348	55.548879	1.279191	7.141866	6.860639	35.053561	0.6488
12.334348	55.548879	0.026983	7.073139	2.569495	33.801353	0.6531
12.334348	55.548879	1.059009	7.090148	-4.728527	34.833379	0.6521
12.334348	55.548879	-3.209369	7.019408	-10.798346	30.565001	0.6564
12.334348	55.548879	-3.087695	7.066069	-5.431305	30.686675	0.6535
12.334348	55.548879	1.7644	7.130358	1.216398	35.53877	0.6495
12.334348	55.548879	1.755466	7.065856	4.582129	35.529836	0.6536
12.334348	55.548879	-0.503133	7.064135	-4.15528	33.271237	0.6537
12.334348	55.548879	3.115633	7.062442	4.108671	36.890003	0.6538
